username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheEllenShow;2018-03-13 20:45;125;1223;"So glad you performed #IDGAF even though I have no idea what that stands for.";;;#IDGAF;"973767026404503552";https://twitter.com/TheEllenShow/status/973767026404503552
TheEllenShow;2018-03-13 14:44;158;2193;"Katelin and Erica are best friends. They share everything. Even wombs. http:// ellentube.com/firstevers http:// ellen.tv/2IqLZaa";;;;"973676216199790593";https://twitter.com/TheEllenShow/status/973676216199790593
TheEllenShow;2018-03-13 13:04;377;3706;"How do I get my kids to stay up all night? That's right. #NeverBeenGoogled pic.twitter.com/Icz5UQeH8W";;;#NeverBeenGoogled;"973650930590629890";https://twitter.com/TheEllenShow/status/973650930590629890
TheEllenShow;2018-03-13 12:38;27;118;"She’s never looked better. Or more intimidating.";;;;"973644538613936128";https://twitter.com/TheEllenShow/status/973644538613936128
TheEllenShow;2018-03-13 11:51;249;2239;". @DanaCarvey pic.twitter.com/qukhfTrKTv";;@DanaCarvey;;"973632613951811584";https://twitter.com/TheEllenShow/status/973632613951811584
TheEllenShow;2018-03-13 11:18;333;4802;"Happy birthday, @Common ! Ironically, you’re a pretty uncommon guy.";;@Common;;"973624265005195264";https://twitter.com/TheEllenShow/status/973624265005195264
TheEllenShow;2018-03-13 10:47;260;2691;"If there’s one thing I remember from the '70s, it’s that dating men isn’t easy. Here are some dating tips from my new show, #SplittingUpTogether , premiering March 27th! pic.twitter.com/OzxzSifrym";;;#SplittingUpTogether;"973616503151980544";https://twitter.com/TheEllenShow/status/973616503151980544
TheEllenShow;2018-03-13 09:32;1974;7554;"Here it is! The television debut of @21Savage . #BankAccount pic.twitter.com/FtdzvVqmDg";;@21Savage;#BankAccount;"973597677563756544";https://twitter.com/TheEllenShow/status/973597677563756544
TheEllenShow;2018-03-12 17:20;508;4687;"Just tell me what music you want. I'm ready.";;;;"973353122721538049";https://twitter.com/TheEllenShow/status/973353122721538049
TheEllenShow;2018-03-12 16:41;1;39;"It’s amazing how far we could zoom in on that.";;;;"973343168220430337";https://twitter.com/TheEllenShow/status/973343168220430337
TheEllenShow;2018-03-12 15:21;1786;9435;"I found a few other notes in Trump’s hand that you’re gonna wanna see. pic.twitter.com/7a1dQ1MULv";;;;"973323034038644737";https://twitter.com/TheEllenShow/status/973323034038644737
TheEllenShow;2018-03-12 14:50;1125;11142;"It’s #NationalNappingDay ! Or as @AndyLassner calls it, Monday.";;@AndyLassner;#NationalNappingDay;"973315239356727296";https://twitter.com/TheEllenShow/status/973315239356727296
TheEllenShow;2018-03-12 13:35;176;3738;"I had so much fun. Also, if you need it, I’m an expert on armchairs. https:// twitter.com/daxshepard1/st atus/973210353793298433 …";;;;"973296463512940544";https://twitter.com/TheEllenShow/status/973296463512940544
