Handle; tweet
realDonaldTrump; "Donate Today To Help Make America Great Again! You Can Help Stop Crooked Hillary Clinton! https://t.co/VlObaDG4eR https://t.co/mBDwW5orrd"
realDonaldTrump; "I will once again write a $1 MILLION check to our campaign if we hit our million-dollar end-of-month goal! https://t.co/CgHp1CqPSp"
realDonaldTrump; "I'm with YOU. I will work hard and never let you down. Make America Great Again! https://t.co/wotYvx6Prz"
realDonaldTrump; "The Establishment and special interests are absolutely killing our country. We must put #AmericaFirst. https://t.co/jMgAETgW6U"
HillaryClinton; ""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president." #DebateNight"
HillaryClinton; "A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight"
