word, pTrump, act1, act2, act3
"Trump's",0.32,0.38,0.35,-0.33
"always",0.12,0.68,0.64,-0.65
"put",0.11,0.71,0.68,-0.84
"his",0.05,0.96,0.87,-1.14
"own",0.03,1.22,1.10,-1.47
"profits",0.02,1.35,1.25,-1.74
"above",0.03,1.36,1.26,-1.90
"all",0.04,1.19,1.08,-1.85
"—",0.01,1.63,1.54,-2.27
"no",0.02,1.62,1.46,-2.35
"matter",0.01,1.95,1.74,-2.63
"who",0.01,2.05,1.77,-2.74
"else",0.02,1.77,1.53,-2.62
"gets",0.01,1.94,1.69,-2.77
"hurt",0.01,2.00,1.79,-2.87
".",0.01,2.07,1.86,-2.94
"Why",0.01,2.07,1.85,-2.96
"would",0.01,2.08,1.83,-2.98
"that",0.01,2.14,1.85,-3.02
"change",0.02,1.88,1.59,-2.82
"if",0.01,2.17,1.81,-3.01
"he's",0.01,2.37,1.99,-3.17
"president",0.01,2.63,2.19,-3.35
"?",0.01,2.57,2.07,-3.27
"http://hrc.io/2cZiYCX",0.01,2.40,1.92,-3.15
