word, pTrump, act1, act2, act3
"When",0.68,0.11,-0.00,-0.03
"will",0.89,-0.31,-0.39,0.30
"we",0.89,-0.12,-0.34,0.33
"see",0.92,-0.24,-0.44,0.47
"stories",0.93,-0.33,-0.49,0.55
"from",0.91,-0.18,-0.34,0.50
"CNN",0.94,-0.38,-0.50,0.63
"on",0.92,-0.22,-0.40,0.58
"Clinton",0.95,-0.56,-0.74,0.80
"Foundation",0.96,-0.67,-0.84,0.88
"corruption",0.97,-0.74,-0.92,0.96
"and",0.97,-0.54,-0.86,0.95
"Hillary's",0.92,-0.07,-0.37,0.56
"pay-for-play",0.91,-0.17,-0.36,0.58
"at",0.92,-0.22,-0.35,0.59
"State",0.92,-0.30,-0.35,0.61
"Department",0.95,-0.50,-0.57,0.76
"?",0.95,-0.41,-0.61,0.81
