word, pTrump, act1, act2, act3
"Funny",0.81,-0.11,-0.14,0.11
"how",0.82,-0.04,-0.19,0.18
"the",0.78,0.08,-0.13,0.15
"failing",0.91,-0.35,-0.45,0.42
"@nytimes",0.95,-0.50,-0.61,0.60
"is",0.96,-0.50,-0.69,0.71
"pushing",0.96,-0.52,-0.72,0.79
"dems",0.96,-0.71,-0.92,0.92
"narrative",0.97,-0.69,-0.90,0.94
"that",0.97,-0.50,-0.79,0.90
"Russia",0.96,-0.42,-0.64,0.86
"is",0.96,-0.46,-0.70,0.91
"working",0.96,-0.37,-0.62,0.87
"for",0.95,-0.35,-0.65,0.88
"me",0.96,-0.67,-0.93,0.98
"because",0.97,-0.49,-0.80,0.91
"Putin",0.96,-0.47,-0.79,0.92
"said",0.96,-0.46,-0.78,0.93
"""",0.93,-0.10,-0.35,0.67
"Trump",0.87,0.04,-0.23,0.55
"is",0.90,-0.12,-0.33,0.59
"a",0.90,-0.05,-0.33,0.58
"genius",0.86,0.00,-0.18,0.47
".",0.84,0.02,-0.12,0.43
"""",0.53,0.32,0.25,0.11
"America",0.45,0.37,0.29,-0.08
"1st",0.50,0.25,0.25,-0.10
"!",0.88,-0.25,-0.29,0.28
