word, pTrump, act1, act2, act3
"We",0.56,0.06,-0.16,0.13
"are",0.55,0.06,-0.20,0.11
"not",0.54,0.06,-0.26,0.09
"going",0.79,-0.18,-0.06,-0.20
"to",0.76,-0.21,-0.11,-0.13
"build",0.57,-0.07,-0.29,0.05
"a",0.53,-0.04,-0.36,0.06
"wall",0.62,-0.11,-0.33,-0.04
"and",0.57,-0.10,-0.40,-0.01
"deport",0.26,0.19,-0.58,0.29
"16",0.26,0.27,-0.57,0.27
"million",0.17,0.43,-0.67,0.37
"people",0.29,0.33,-0.56,0.20
".",0.21,0.36,-0.67,0.25
"That's",0.07,0.65,-0.90,0.55
"not",0.07,0.76,-0.96,0.55
"happening",0.06,0.84,-0.96,0.56
".",0.04,0.94,-1.06,0.64
"#DebateNight",0.02,1.24,-1.25,0.95
