word, pTrump, act1, act2, act3
"We",0.66,0.16,0.01,-0.02
"need",0.46,0.38,0.19,-0.17
"to",0.37,0.49,0.25,-0.26
"raise",0.29,0.51,0.33,-0.41
"the",0.20,0.64,0.42,-0.57
"minimum",0.08,0.83,0.70,-0.86
"wage",0.04,1.11,1.01,-1.22
"so",0.06,0.93,0.91,-1.30
"nobody",0.13,0.56,0.60,-1.16
"who",0.10,0.71,0.60,-1.23
"works",0.05,0.93,0.83,-1.47
"full-time",0.02,1.24,1.12,-1.78
"is",0.04,1.15,0.99,-1.82
"still",0.02,1.35,1.18,-2.03
"in",0.02,1.52,1.33,-2.22
"poverty",0.01,1.72,1.57,-2.45
":",0.01,1.84,1.76,-2.62
"http://hrc.io/2dnYE0U",0.01,1.76,1.65,-2.60
